trxID,amount,type,transactionTime
S1,150000.00,CREDIT,2024-01-02T09:00:00Z
S2,50000.00,DEBIT,2024-01-03T10:00:00Z
S3,2000000.00,CREDIT,2024-01-04T11:00:00Z
S4,75000.00,DEBIT,2024-01-05T12:00:00Z
S5,250000.00,CREDIT,2024-01-20T08:00:00Z
S6,1500000.00,CREDIT,2024-01-07 14:30:00
S7,25000000.00,DEBIT,2024-01-08
S8,500000.00,CREDIT,2024-01-09T16:00:00Z
S9,1000000.00,DEBIT,2024-01-10T09:00:00Z
S10,60000.00,CREDIT,2023-12-31T23:00:00Z
S11,80000.00,credit,2024-01-11T10:00:00Z
S12,12500000.00,DEBIT,2024-01-12T13:00:00Z
